Date,Open,High,Low,Close,Volume,Turnover
2016-06-10,20.45,20.9,19.815,20.0,15853702.0,319434172.74
2016-06-13,19.8,19.85,19.51,19.645,1545430.0,30298629.86
2016-06-14,19.525,19.665,19.5,19.5,2880747.0,56549503.181
2016-06-15,19.545,19.65,19.5,19.55,630248.0,12310724.795
2016-06-16,19.5,19.55,19.5,19.5,2059865.0,40172097.045
2016-06-17,19.54,19.605,19.515,19.525,191315.0,3739318.995
2016-06-20,19.63,19.94,19.6,19.9,484575.0,9575897.175
2016-06-21,19.85,19.88,19.715,19.75,168188.0,3323853.465
2016-06-22,19.84,19.84,19.5,19.785,505830.0,9932410.8925
2016-06-23,19.65,20.095,19.645,20.07,746485.0,14864222.36
2016-06-24,19.3,19.37,19.05,19.22,2536514.0,48716995.78
2016-06-27,19.1,19.22,18.25,18.25,1364114.0,25545255.455
2016-06-28,18.5,18.575,18.25,18.41,338070.0,6224286.135
2016-06-29,18.615,19.33,18.61,18.8,153375.0,2901076.785
2016-06-30,18.805,19.54,18.8,19.45,181991.0,3517547.83
2016-07-01,19.345,19.355,19.19,19.2,145186.0,2779456.21
2016-07-04,19.335,19.37,18.86,18.86,43583.0,826820.835
2016-07-05,18.76,18.985,18.63,18.63,48840.0,914762.255
2016-07-06,18.585,18.6,17.19,17.245,512695.0,9079795.525
2016-07-07,17.29,17.6,17.14,17.14,598808.0,10302202.75
2016-07-08,17.15,17.585,17.15,17.465,254003.0,4415307.79
2016-07-11,17.8,17.8,17.2,17.235,95162.0,1655213.355
2016-07-12,17.225,17.48,17.2,17.3,198175.0,3430808.07
2016-07-13,17.295,17.38,17.2,17.2,95268.0,1644991.155
2016-07-14,17.2,17.37,17.0,17.145,87527.0,1501521.725
2016-07-15,17.15,17.4,17.1,17.2,171836.0,2958280.325
2016-07-18,17.23,17.37,17.18,17.195,62816.0,1084035.51
2016-07-19,17.47,17.5,17.05,17.22,56131.0,965945.725
2016-07-20,18.09,18.155,17.545,17.8,280726.0,5020250.87
2016-07-21,17.88,18.035,17.65,17.785,97681.0,1738875.06
2016-07-22,17.87,17.95,17.8,17.885,75168.0,1343818.515
2016-07-25,17.815,18.0,17.72,17.72,67533.0,1202775.39
2016-07-26,17.73,17.9,17.67,17.695,24457.0,434798.74
2016-07-27,17.7,17.895,17.645,17.675,55521.0,985900.445
2016-07-28,17.635,17.845,17.31,17.38,94895.0,1668979.325
2016-07-29,17.5,17.98,17.5,17.925,91486.0,1633178.525
2016-08-01,17.97,18.605,17.92,18.42,311397.0,5742291.46
2016-08-02,18.53,18.55,18.05,18.335,83002.0,1525140.305
2016-08-03,18.33,18.5,18.255,18.26,28820.0,528577.71
2016-08-04,18.4,18.45,18.215,18.4,71584.0,1316340.975
2016-08-05,18.43,18.48,18.04,18.15,61086.0,1109943.405
2016-08-08,18.18,18.395,18.18,18.3,51267.0,937342.275
2016-08-09,18.35,18.43,18.205,18.37,33139.0,606328.075
2016-08-10,18.39,18.75,18.3,18.64,70099.0,1302550.475
2016-08-11,18.64,18.64,18.375,18.45,69570.0,1285170.395
2016-08-12,18.45,18.8,18.45,18.715,76913.0,1431791.565
2016-08-15,18.575,18.61,18.395,18.6,78033.0,1446181.965
2016-08-16,18.45,18.45,18.28,18.31,46047.0,846583.4
2016-08-17,18.33,18.33,18.115,18.285,37048.0,680181.455
2016-08-18,18.35,18.64,18.3,18.48,130293.0,2410280.455
2016-08-19,18.595,18.595,18.29,18.5,60380.0,1114110.025
2016-08-22,18.4,18.68,18.4,18.59,86278.0,1602744.385
2016-08-23,18.68,19.18,18.61,19.165,106324.0,2008241.185
2016-08-24,19.975,19.975,18.805,18.85,395985.0,7619192.625
2016-08-25,18.885,18.92,18.345,18.49,158507.0,2946063.63
2016-08-26,18.495,18.76,18.49,18.635,156198.0,2967450.085
2016-08-29,18.65,18.79,18.6,18.71,56951.0,1062579.41
2016-08-30,18.84,18.965,18.78,18.855,49605.0,936684.085
2016-08-31,18.935,19.12,18.765,19.03,125741.0,2387939.27
2016-09-01,18.99,19.095,18.905,19.05,113318.0,2155729.395
2016-09-02,19.05,19.24,19.01,19.13,90000.0,1720075.29
2016-09-05,19.15,19.21,19.015,19.02,28938.0,551559.385
2016-09-06,19.1,19.15,18.82,18.97,43393.0,825002.75
2016-09-07,19.04,19.095,18.89,19.06,44974.0,855486.51
2016-09-08,19.095,19.145,18.96,19.085,76141.0,1451565.86
2016-09-09,19.1,19.315,19.1,19.305,99827.0,1921422.795
2016-09-12,19.15,19.19,19.0,19.055,124940.0,2385431.095
2016-09-13,19.1,19.15,18.65,18.65,68001.0,1282336.87
2016-09-14,18.72,18.72,18.47,18.5,147485.0,2778540.755
2016-09-15,18.55,18.8,18.525,18.74,72740.0,1357789.285
2016-09-16,18.655,18.8,18.525,18.785,97771.0,1833076.4
2016-09-19,18.835,19.0,18.79,18.855,58467.0,1100714.315
2016-09-20,18.85,18.855,18.245,18.455,78779.0,1462574.81
2016-09-21,18.53,18.66,18.465,18.51,45561.0,844569.66
2016-09-22,18.66,18.66,18.475,18.555,186859.0,3480482.57
2016-09-23,18.55,18.64,18.5,18.515,50575.0,938142.68
2016-09-26,18.435,18.46,17.93,17.975,146948.0,2659451.58
2016-09-27,18.005,18.035,17.76,17.96,60005.0,1074658.205
2016-09-28,18.0,18.595,17.965,18.015,66899.0,1210403.235
2016-09-29,18.2,18.315,18.09,18.195,52424.0,954364.87
2016-09-30,18.165,18.18,18.0,18.11,94915.0,1717149.41
2016-10-03,18.16,18.34,18.15,18.245,92061.0,1677745.975
2016-10-04,18.4,18.5,18.16,18.21,77016.0,1409108.855
2016-10-05,18.5,18.705,18.26,18.705,168134.0,3125886.42
2016-10-06,18.7,18.755,18.605,18.72,40595.0,759262.255
2016-10-07,18.775,18.775,18.605,18.73,78003.0,1458564.975
2016-10-10,18.73,18.73,18.605,18.705,19224.0,359433.235
2016-10-11,18.7,18.935,18.65,18.89,47507.0,893101.665
2016-10-12,18.9,18.95,18.805,18.94,21262.0,401752.975
2016-10-13,18.83,18.945,18.8,18.935,28230.0,532540.37
